,name,company,year,Price,kms_driven,fuel_type,fuel_type_N,company_N,name_N
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,2,9,91
1,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,0,13,118
2,Hyundai Grand i10,Hyundai,2014,325000,28000,Petrol,2,9,88
3,Ford EcoSport Titanium,Ford,2014,575000,36000,Diesel,0,6,40
4,Ford Figo,Ford,2012,175000,41000,Diesel,0,6,45
5,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,2,9,79
6,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,0,6,39
7,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol,2,14,148
8,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol,2,20,194
9,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol,2,14,162
10,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,2,9,78
11,Mahindra Scorpio SLE,Mahindra,2015,320000,48660,Diesel,0,13,131
12,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,2,9,91
13,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,0,13,118
14,Audi A8,Audi,2017,1000000,4000,Petrol,2,0,4
15,Audi Q7,Audi,2014,500000,16934,Diesel,0,0,7
16,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,0,13,129
17,Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol,2,14,148
18,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,0,13,129
19,Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel,0,13,129
20,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol,2,14,148
21,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,2,9,110
22,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,2,9,110
23,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,2,9,110
24,Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol,2,14,148
25,Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel,0,14,165
26,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol,2,14,148
27,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,0,13,115
28,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,0,14,163
29,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,0,13,129
30,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol,2,14,163
31,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,2,14,166
32,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,2,14,166
33,Toyota Innova 2.0,Toyota,2012,650000,82000,Diesel,0,22,239
34,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,0,19,190
35,Skoda Yeti Ambition,Skoda,2012,448000,68000,Diesel,0,20,199
36,Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel,0,14,149
37,Renault Duster 110,Renault,2012,501000,38000,Diesel,0,19,182
38,Renault Duster 85,Renault,2013,489999,27000,Diesel,0,19,184
39,Honda City 1.5,Honda,2011,280000,33000,Petrol,2,8,61
40,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol,2,14,148
41,Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel,0,14,152
42,Honda Amaze,Honda,2013,284999,46000,Diesel,0,8,54
43,Honda Amaze 1.5,Honda,2015,345000,36000,Diesel,0,8,56
44,Honda City,Honda,2015,499999,55000,Petrol,2,8,60
45,Datsun Redi GO,Datsun,2017,235000,16000,Petrol,2,3,32
46,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,2,14,161
47,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,0,17,174
48,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,0,13,115
49,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,0,14,163
50,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,0,13,129
51,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol,2,14,163
52,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,2,14,166
53,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,2,14,166
54,Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel,0,13,129
55,Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol,2,14,163
56,Honda City ZX,Honda,2017,170000,15000,Diesel,0,8,64
57,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol,2,14,166
58,Ford Figo,Ford,2012,175000,41000,Diesel,0,6,45
59,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,2,9,79
60,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,0,21,209
61,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,0,6,39
62,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,0,21,209
63,Mahindra Scorpio SLE,Mahindra,2012,570000,19000,Diesel,0,13,131
64,Volkswagen Polo Highline,Volkswagen,2014,315000,60000,Petrol,2,23,247
65,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol,2,20,194
66,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol,2,14,162
67,Chevrolet Spark LS,Chevrolet,2010,110000,41000,Petrol,2,2,26
68,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,0,19,183
69,Honda City,Honda,2015,448999,54000,Petrol,2,8,60
70,Mini Cooper S,Mini,2013,1891111,13000,Petrol,2,16,172
71,Datsun Redi GO,Datsun,2017,235000,16000,Petrol,2,3,32
72,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,0,20,193
73,Honda Amaze,Honda,2015,344999,22000,Petrol,2,8,54
74,Honda Amaze,Honda,2015,344999,22000,Petrol,2,8,54
75,Renault Duster,Renault,2014,449999,50000,Diesel,0,19,181
76,Mini Cooper S,Mini,2013,1891111,13500,Petrol,2,16,172
77,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel,0,13,130
78,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,0,13,133
79,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,0,13,125
80,Ford EcoSport,Ford,2017,489999,39000,Petrol,2,6,38
81,Honda Brio,Honda,2012,224999,30000,Petrol,2,8,57
82,Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,Diesel,0,23,251
83,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol,2,9,108
84,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel,0,22,231
85,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol,2,9,97
86,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol,2,22,231
87,Honda City 1.5,Honda,2005,90000,50000,Petrol,2,8,61
88,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,2,9,78
89,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel,0,20,193
